water_risk_mapping,wue_profile,status_quo_direct_water_l,carbon_first_direct_water_l,direct_water_change_pct,status_quo_high_stress_water_l,carbon_first_high_stress_water_l,high_stress_water_share_change_points
portfolio_mean,factorial_000,20.493802444367827,20.493802444367823,-2.220446049250313e-14,0.0,0.7591444187293706,3.7042633781121532
portfolio_mean,factorial_001,20.493802444367827,32.319655468668195,57.70453314558219,0.0,0.7591444187293706,2.348862968125733
portfolio_mean,factorial_002,20.493802444367827,45.04367454544708,119.791689061715,0.0,0.7591444187293706,1.6853518865638444
portfolio_mean,factorial_003,20.493802444367827,21.342109627026854,4.139335220790907,0.0,1.6074516013883993,7.531830870893767
portfolio_mean,factorial_004,20.493802444367827,33.16796265132723,61.843868366373165,0.0,1.6074516013883993,4.846398370278183
portfolio_mean,factorial_005,20.493802444367827,45.89198172810612,123.93102428250597,0.0,1.6074516013883993,3.5026850897657584
portfolio_mean,factorial_006,20.493802444367827,22.254845203305553,8.59305033176847,0.0,2.5201871776671005,11.324217960827571
portfolio_mean,factorial_007,20.493802444367827,34.08069822760593,66.29758347735073,0.0,2.5201871776671005,7.3947639242487915
portfolio_mean,factorial_008,20.493802444367827,46.80471730438481,128.38473939348347,0.0,2.5201871776671005,5.384472597660582
portfolio_mean,factorial_009,20.493802444367827,21.31139551392047,3.989464970066292,0.0,1.5767374882820158,7.398565181956765
portfolio_mean,factorial_010,20.493802444367827,33.137248538220845,61.693998115648526,0.0,1.5767374882820158,4.758202801489056
portfolio_mean,factorial_011,20.493802444367827,45.86126761499973,123.78115403178134,0.0,1.5767374882820158,3.4380591080005733
portfolio_mean,factorial_012,20.493802444367827,22.1597026965795,8.128800190857222,0.0,2.4250446709410447,10.94348919814419
portfolio_mean,factorial_013,20.493802444367827,33.98555572087987,65.83333333643944,0.0,2.4250446709410447,7.135515719847882
portfolio_mean,factorial_014,20.493802444367827,46.70957479765876,127.92048925257227,0.0,2.4250446709410447,5.191750688046503
portfolio_mean,factorial_015,20.493802444367827,23.0724382728582,12.582515301834786,0.0,3.337780247219746,14.466525851089704
portfolio_mean,factorial_016,20.493802444367827,34.89829129715857,70.28704844741699,0.0,3.337780247219746,9.564308518140855
portfolio_mean,factorial_017,20.493802444367827,47.62231037393746,132.3742043635498,0.0,3.337780247219746,7.00885828724184
portfolio_mean,factorial_018,20.493802444367827,22.19108425964167,8.281927279631285,0.0,2.456426234003217,11.06942862846343
portfolio_mean,factorial_019,20.493802444367827,34.01693728394204,65.98646042521352,0.0,2.456426234003217,7.221185768428342
portfolio_mean,factorial_020,20.493802444367827,46.74095636072093,128.07361634134634,0.0,2.456426234003217,5.255404307618085
portfolio_mean,factorial_021,20.493802444367827,23.0393914423007,12.421262500422237,0.0,3.3047334166622457,14.343839875018144
portfolio_mean,factorial_022,20.493802444367827,34.86524446660107,70.12579564600443,0.0,3.3047334166622457,9.478589544461657
portfolio_mean,factorial_023,20.493802444367827,47.58926354337996,132.21295156213722,0.0,3.3047334166622457,6.944283585413795
portfolio_mean,factorial_024,20.493802444367827,23.952127018579404,16.8749776113998,0.0,4.2174689929409475,17.607910101969242
portfolio_mean,factorial_025,20.493802444367827,35.77798004287977,74.57951075698199,0.0,4.2174689929409475,11.78789017123473
portfolio_mean,factorial_026,20.493802444367827,48.50199911965866,136.66666667311483,0.0,4.2174689929409475,8.695453938993492
portfolio_mean,factorial_027,65.46631336395278,51.97456008744073,-20.60869565314627,0.0,0.7591444187293706,1.4606076847061418
portfolio_mean,factorial_028,65.46631336395278,63.8004131117411,-2.5446678858335736,0.0,0.7591444187293706,1.1898738294998066
portfolio_mean,factorial_029,65.46631336395278,76.52443218851998,16.891311357477544,0.0,0.7591444187293706,0.9920288161814752
portfolio_mean,factorial_030,65.46631336395278,52.822867270099756,-19.312903757942156,0.0,1.6074516013883993,3.043097969614181
portfolio_mean,factorial_031,65.46631336395278,64.64872029440014,-1.24887599062945,0.0,1.6074516013883993,2.486439938901059
portfolio_mean,factorial_032,65.46631336395278,77.37273937117902,18.18710325268169,0.0,1.6074516013883993,2.0775425743645926
portfolio_mean,factorial_033,65.46631336395278,53.735602846378455,-17.918697288418738,0.0,2.5201871776671005,4.689976559622705
portfolio_mean,factorial_034,65.46631336395278,65.56145587067883,0.1453304788939569,0.0,2.5201871776671005,3.844007342726214
portfolio_mean,factorial_035,65.46631336395278,78.28547494745771,19.581309722205088,0.0,2.5201871776671005,3.2192270397012424
portfolio_mean,factorial_036,65.46631336395278,52.79215315699337,-19.35981966251682,0.0,1.5767374882820158,2.986689108120125
portfolio_mean,factorial_037,65.46631336395278,64.61800618129375,-1.2957918952041125,0.0,1.5767374882820158,2.440089970987785
portfolio_mean,factorial_038,65.46631336395278,77.34202525807262,18.140187348107006,0.0,1.5767374882820158,2.038655547253649
portfolio_mean,factorial_039,65.46631336395278,53.64046033965241,-18.064027767312695,0.0,2.4250446709410447,4.520924420830127
portfolio_mean,factorial_040,65.46631336395278,65.46631336395278,0.0,0.0,2.4250446709410447,3.704263378112153
portfolio_mean,factorial_041,65.46631336395278,78.19033244073165,19.43597924331111,0.0,2.4250446709410447,3.101463563643537
portfolio_mean,factorial_042,65.46631336395278,54.5531959159311,-16.6698212977893,0.0,3.337780247219746,6.118395432530504
portfolio_mean,factorial_043,65.46631336395278,66.37904894023148,1.394206469523418,0.0,3.337780247219746,5.028364070454105
portfolio_mean,factorial_044,65.46631336395278,79.10306801701036,20.83018571283455,0.0,3.337780247219746,4.219533237954801
portfolio_mean,factorial_045,65.46631336395278,53.67184190271457,-18.016092330826915,0.0,2.456426234003217,4.576750390746284
portfolio_mean,factorial_046,65.46631336395278,65.49769492701495,0.04793543648580201,0.0,2.456426234003217,3.750401043487788
portfolio_mean,factorial_047,65.46631336395278,78.22171400379382,19.48391467979691,0.0,2.456426234003217,3.1403380318207783
portfolio_mean,factorial_048,65.46631336395278,54.5201490853736,-16.720300435622793,0.0,3.3047334166622457,6.061490058450379
portfolio_mean,factorial_049,65.46631336395278,66.34600210967398,1.3437273316899034,0.0,3.3047334166622457,4.981058860486153
portfolio_mean,factorial_050,65.46631336395278,79.07002118645286,20.779706575001057,0.0,3.3047334166622457,4.179502379124756
portfolio_mean,factorial_051,65.46631336395278,55.43288466165231,-15.326093966099364,0.0,4.2174689929409475,7.6082437684476725
portfolio_mean,factorial_052,65.46631336395278,67.25873768595268,2.7379338012133214,0.0,4.2174689929409475,6.270514639500567
portfolio_mean,factorial_053,65.46631336395278,79.98275676273155,22.17391304452445,0.0,4.2174689929409475,5.27297278018567
portfolio_mean,factorial_054,113.8544580242657,85.84626134897486,-24.600000001160673,0.0,0.7591444187293706,0.8843069072552405
portfolio_mean,factorial_055,113.8544580242657,97.67211437327524,-14.213184034955873,0.0,0.7591444187293706,0.7772376216082874
portfolio_mean,factorial_056,113.8544580242657,110.39613345005412,-3.037495970051962,0.0,0.7591444187293706,0.6876548978708805
portfolio_mean,factorial_057,113.8544580242657,86.6945685316339,-23.854919661418293,0.0,1.6074516013883993,1.8541549126020018
portfolio_mean,factorial_058,113.8544580242657,98.52042155593426,-13.468103695213507,0.0,1.6074516013883993,1.6315922891943577
portfolio_mean,factorial_059,113.8544580242657,111.24444063271315,-2.2924156303095966,0.0,1.6074516013883993,1.4449725237916322
portfolio_mean,factorial_060,113.8544580242657,87.6073041079126,-23.05325094144234,0.0,2.5201871776671005,2.8766861431585586
portfolio_mean,factorial_061,113.8544580242657,99.43315713221298,-12.666434975237518,0.0,2.5201871776671005,2.5345541169090016
portfolio_mean,factorial_062,113.8544580242657,112.15717620899187,-1.490746910333618,0.0,2.5201871776671005,2.247013755919661
portfolio_mean,factorial_063,113.8544580242657,86.66385441852752,-23.88189630654872,0.0,1.5767374882820158,1.8193715232967196
portfolio_mean,factorial_064,113.8544580242657,98.48970744282789,-13.495080340343923,0.0,1.5767374882820158,1.600916003529905
portfolio_mean,factorial_065,113.8544580242657,111.21372651960677,-2.3193922754400353,0.0,1.5767374882820158,1.4177543884423656
portfolio_mean,factorial_066,113.8544580242657,87.51216160118653,-23.136815966806367,0.0,2.4250446709410447,2.7710944702663642
portfolio_mean,factorial_067,113.8544580242657,99.33801462548692,-12.750000000601558,0.0,2.4250446709410447,2.4412050916093673
portfolio_mean,factorial_068,113.8544580242657,112.06203370226578,-1.574311935697681,0.0,2.4250446709410447,2.16401986544709
portfolio_mean,factorial_069,113.8544580242657,88.42489717746524,-22.3351472468304,0.0,3.337780247219746,3.7747063935182803
portfolio_mean,factorial_070,113.8544580242657,100.25075020176561,-11.948331280625602,0.0,3.337780247219746,3.3294316905380734
