policy,hour_index,trace_timestamp_anonymized,region,assigned_accelerator_hours,it_energy_kwh,facility_energy_kwh,carbon_kgco2e,direct_water_l,high_stress_direct_water_l,water_stress_category,latency_from_east_ms,migrated
E0_true_no_migration_status_quo,11,2024-05-10 11:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,12,2024-05-10 12:00:00+00:00,east,2737.5743733095483,1806.7939834032761,2258.492479254095,712.5826083606577,2077.8130809137674,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,12,2024-05-10 12:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,12,2024-05-10 12:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,12,2024-05-10 12:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,13,2024-05-10 13:00:00+00:00,east,4548.75466294602,3002.16959842908,3752.7119980363495,1149.2211404986567,3452.495038193442,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,13,2024-05-10 13:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,13,2024-05-10 13:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,13,2024-05-10 13:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,14,2024-05-10 14:00:00+00:00,east,6742.219838771705,4449.852525740852,5562.315657176065,1791.8999889592692,5117.330404601979,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,14,2024-05-10 14:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,14,2024-05-10 14:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,14,2024-05-10 14:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,15,2024-05-10 15:00:00+00:00,east,7491.369795938635,4944.290101016539,6180.362626270674,2269.8926835635616,5685.93361616902,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,15,2024-05-10 15:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,15,2024-05-10 15:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,15,2024-05-10 15:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,16,2024-05-10 16:00:00+00:00,east,6823.362679333332,4503.406649257051,5629.258311571313,2734.9047849480276,5178.917646645607,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,16,2024-05-10 16:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,16,2024-05-10 16:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,16,2024-05-10 16:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,17,2024-05-10 17:00:00+00:00,east,7618.553496621655,5028.231106390298,6285.288882987872,3245.8017452859744,5782.465772348843,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,17,2024-05-10 17:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,17,2024-05-10 17:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,17,2024-05-10 17:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,18,2024-05-10 18:00:00+00:00,east,8008.085003319142,5285.32117470365,6606.651468379562,3382.605551810336,6078.119350909197,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,18,2024-05-10 18:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,18,2024-05-10 18:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,18,2024-05-10 18:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,19,2024-05-10 19:00:00+00:00,east,8658.63058494059,5714.680045923004,7143.350057403755,3613.017167159102,6571.882052811455,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,19,2024-05-10 19:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,19,2024-05-10 19:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,19,2024-05-10 19:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,20,2024-05-10 20:00:00+00:00,east,8280.599121586722,5465.179984779762,6831.474980974702,3470.0477165861,6284.956982496725,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,20,2024-05-10 20:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,20,2024-05-10 20:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,20,2024-05-10 20:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,21,2024-05-10 21:00:00+00:00,east,5914.519177808564,3903.571632382263,4879.464540477828,2497.492931736821,4489.107377239602,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,21,2024-05-10 21:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,21,2024-05-10 21:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,21,2024-05-10 21:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,22,2024-05-10 22:00:00+00:00,east,4102.154685519701,2707.414445813297,3384.268057266621,1751.739449791919,3113.526612685291,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,22,2024-05-10 22:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,22,2024-05-10 22:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,22,2024-05-10 22:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,23,2024-05-10 23:00:00+00:00,east,2601.603786938421,1717.0536498545775,2146.317062318222,1168.1062322034134,1974.611697332764,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,23,2024-05-10 23:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,23,2024-05-10 23:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,23,2024-05-10 23:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,24,2024-05-11 00:00:00+00:00,east,1880.69304002361,1241.2539007059324,1551.5673758824155,919.3424593947283,1427.4419858118222,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,24,2024-05-11 00:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,24,2024-05-11 00:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,24,2024-05-11 00:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,25,2024-05-11 01:00:00+00:00,east,1692.9898939075215,1117.3701741577418,1396.7127176971771,828.2331826854547,1284.9757002814029,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,25,2024-05-11 01:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,25,2024-05-11 01:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,25,2024-05-11 01:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,26,2024-05-11 02:00:00+00:00,east,1389.0718397701091,916.7848249461107,1145.9810311826382,680.9419287287236,1054.3025486880272,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,26,2024-05-11 02:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,26,2024-05-11 02:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,26,2024-05-11 02:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,27,2024-05-11 03:00:00+00:00,east,1466.647681594539,967.9847359448303,1209.9809199310378,723.4778415497658,1113.1824463365547,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,27,2024-05-11 03:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,27,2024-05-11 03:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,27,2024-05-11 03:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,28,2024-05-11 04:00:00+00:00,east,1179.5236053790616,778.4833808568278,973.1042260710346,581.1743352180995,895.2558879853518,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,28,2024-05-11 04:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,28,2024-05-11 04:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,28,2024-05-11 04:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,29,2024-05-11 05:00:00+00:00,east,955.836924432778,630.8505883958888,788.563235494861,468.731844218589,725.4781766552721,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,29,2024-05-11 05:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,29,2024-05-11 05:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,29,2024-05-11 05:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,30,2024-05-11 06:00:00+00:00,east,843.0785723798475,556.430286228388,695.537857785485,408.50677232386,639.8948291626461,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,30,2024-05-11 06:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,30,2024-05-11 06:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,30,2024-05-11 06:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,31,2024-05-11 07:00:00+00:00,east,586.3700544328918,387.00314290142734,483.75392862678416,279.97258619275135,445.0536143366414,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,31,2024-05-11 07:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,31,2024-05-11 07:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,31,2024-05-11 07:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,32,2024-05-11 08:00:00+00:00,east,504.78982525418064,333.1603437132685,416.45042964158563,237.51729691570785,383.1343952702587,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,32,2024-05-11 08:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,32,2024-05-11 08:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,32,2024-05-11 08:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,33,2024-05-11 09:00:00+00:00,east,386.1672281614918,254.86965075078496,318.58706343848115,164.5940239871983,293.10009836340265,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,33,2024-05-11 09:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,33,2024-05-11 09:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
E0_true_no_migration_status_quo,33,2024-05-11 09:00:00+00:00,southwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,low_medium,17.801,True
E0_true_no_migration_status_quo,34,2024-05-11 10:00:00+00:00,east,384.3913921893547,253.6976023194251,317.1220028992813,149.0830175879884,291.7522426673388,0.0,medium_high,2.5,False
E0_true_no_migration_status_quo,34,2024-05-11 10:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
E0_true_no_migration_status_quo,34,2024-05-11 10:00:00+00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
