policy,hour_index,trace_timestamp_anonymized,region,assigned_accelerator_hours,it_energy_kwh,facility_energy_kwh,carbon_kgco2e,direct_water_l,high_stress_direct_water_l,water_stress_category,latency_from_east_ms,migrated
B0_true_no_migration_status_quo,16,2024-11-16 08:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,16,2024-11-16 08:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,16,2024-11-16 08:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,16,2024-11-16 08:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,17,2024-11-16 09:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,17,2024-11-16 09:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,17,2024-11-16 09:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,17,2024-11-16 09:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,18,2024-11-16 10:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,18,2024-11-16 10:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,18,2024-11-16 10:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,18,2024-11-16 10:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,19,2024-11-16 11:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,19,2024-11-16 11:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,19,2024-11-16 11:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,19,2024-11-16 11:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,20,2024-11-16 12:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,20,2024-11-16 12:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,20,2024-11-16 12:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,20,2024-11-16 12:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,21,2024-11-16 13:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
B0_true_no_migration_status_quo,21,2024-11-16 13:00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
B0_true_no_migration_status_quo,21,2024-11-16 13:00:00,northwest,0.0,0.0,0.0,0.0,0.0,0.0,high,18.956,True
B0_true_no_migration_status_quo,21,2024-11-16 13:00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
B0_true_no_migration_status_quo,22,2024-11-16 14:00:00,east,0.0,0.0,0.0,0.0,0.0,0.0,medium_high,2.5,False
