carbon_mapping,pue_scenario,capacity_scenario,migration_limit,max_latency_ms,wue_profile,water_risk_mapping,energy_level,from_cap_fraction,to_cap_fraction,screened_direct_water_avoided_increment_l,additional_carbon_increment_kgco2e,marginal_additional_carbon_kgco2e_per_screened_l_avoided,monotone_water_avoidance_pass,monotone_carbon_penalty_pass
conservative_site_selection,legacy_stress,ample,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,6.246867333183772,0.4618849426423566,0.0739386508480487,True,True
conservative_site_selection,legacy_stress,ample,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,6.246867333183756,1.088158599596312,0.1741926859589196,True,True
conservative_site_selection,legacy_stress,ample,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,6.2468673331837525,1.6149221980387125,0.2585171273704091,True,True
conservative_site_selection,legacy_stress,ample,0.5,20.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,6.246867333183758,2.2268370606472203,0.3564726032867898,True,True
conservative_site_selection,legacy_stress,ample,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,6.246867333183772,0.4618849426423566,0.0739386508480487,True,True
conservative_site_selection,legacy_stress,ample,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,6.246867333183756,1.088158599596312,0.1741926859589196,True,True
conservative_site_selection,legacy_stress,ample,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,6.2468673331837525,1.6149221980387125,0.2585171273704091,True,True
conservative_site_selection,legacy_stress,ample,0.5,35.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,6.246867333183758,2.2268370606472203,0.3564726032867898,True,True
conservative_site_selection,legacy_stress,central,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,2.4516308959258994,0.2990954479280816,0.1219985636602622,True,True
conservative_site_selection,legacy_stress,central,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,0.75,0.5,2.4516308959259003,0.5884491338315101,0.2400235430257425,True,True
conservative_site_selection,legacy_stress,central,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,0.5,0.25,2.451630895925901,0.8499190224724913,0.3466749517167855,True,True
conservative_site_selection,legacy_stress,central,0.15,15.0,uniform_google_ai_2024,portfolio_mean,central,0.25,0.0,2.4516308959258986,1.1325942270324916,0.4619758336846823,True,True
conservative_site_selection,legacy_stress,central,0.15,20.0,uniform_google_ai_2024,portfolio_mean,central,1.0,0.75,1.8740601999551263,0.1385654827926998,0.0739386508480451,True,True
