water_risk_mapping,wue_profile,profile_rank,east_wue_l_per_kwh_it,north_wue_l_per_kwh_it,northwest_wue_l_per_kwh_it,southwest_wue_l_per_kwh_it,status_quo_direct_water_l,carbon_first_direct_water_l,direct_water_change_pct,status_quo_high_stress_water_l,carbon_first_high_stress_water_l,status_quo_high_stress_share_pct,carbon_first_high_stress_share_pct,high_stress_share_change_pp,direct_water_change_class,use_panel_a,use_panel_b,use_panel_c,use_panel_d,evidence_id
conservative_max,factorial_036,11,1.15,1.15,0.36,0.36,65.4663133639528,52.7921531569934,-19.3598196625168,65.4663133639528,52.7921531569934,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_037,35,1.15,1.15,0.36,1.15,65.4663133639528,64.6180061812938,-1.29579189520411,65.4663133639528,64.6180061812938,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_038,56,1.15,1.15,0.36,2,65.4663133639528,77.3420252580726,18.140187348107,65.4663133639528,77.3420252580726,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_039,13,1.15,1.15,1.15,0.36,65.4663133639528,53.6404603396524,-18.0640277673127,65.4663133639528,53.6404603396524,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_040,40,1.15,1.15,1.15,1.15,65.4663133639528,65.4663133639528,0,65.4663133639528,65.4663133639528,100,100,0,unchanged,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_041,58,1.15,1.15,1.15,2,65.4663133639528,78.1903324407317,19.4359792433111,65.4663133639528,78.1903324407317,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_042,17,1.15,1.15,2,0.36,65.4663133639528,54.5531959159311,-16.6698212977893,65.4663133639528,54.5531959159311,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_043,45,1.15,1.15,2,1.15,65.4663133639528,66.3790489402315,1.39420646952342,65.4663133639528,66.3790489402315,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_044,62,1.15,1.15,2,2,65.4663133639528,79.1030680170104,20.8301857128345,65.4663133639528,79.1030680170104,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_045,14,1.15,2,0.36,0.36,65.4663133639528,53.6718419027146,-18.0160923308269,65.4663133639528,53.6718419027146,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_046,42,1.15,2,0.36,1.15,65.4663133639528,65.4976949270149,0.047935436485802,65.4663133639528,65.4976949270149,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_047,59,1.15,2,0.36,2,65.4663133639528,78.2217140037938,19.4839146797969,65.4663133639528,78.2217140037938,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_048,16,1.15,2,1.15,0.36,65.4663133639528,54.5201490853736,-16.7203004356228,65.4663133639528,54.5201490853736,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_049,44,1.15,2,1.15,1.15,65.4663133639528,66.346002109674,1.3437273316899,65.4663133639528,66.346002109674,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_050,61,1.15,2,1.15,2,65.4663133639528,79.0700211864529,20.7797065750011,65.4663133639528,79.0700211864529,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_051,18,1.15,2,2,0.36,65.4663133639528,55.4328846616523,-15.3260939660994,65.4663133639528,55.4328846616523,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_052,46,1.15,2,2,1.15,65.4663133639528,67.2587376859527,2.73793380121332,65.4663133639528,67.2587376859527,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_053,63,1.15,2,2,2,65.4663133639528,79.9827567627316,22.1739130445245,65.4663133639528,79.9827567627316,100,100,0,increase,False,False,False,True,T3C04;T1R08;T1R09
