trace_timestamp_anonymized,request_type,request_count,service_accelerator_hours,total_images,median_exec_time_seconds,p95_exec_time_seconds,hour_index,workload_class,service_quantity_status
2024-11-16 06:00:00,TXT_2_IMG,0.0,0.0,0.0,,,14,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 07:00:00,IMG_2_IMG,0.0,0.0,0.0,,,15,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 07:00:00,INPAINTING,0.0,0.0,0.0,,,15,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 07:00:00,TXT_2_IMG,0.0,0.0,0.0,,,15,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 08:00:00,IMG_2_IMG,0.0,0.0,0.0,,,16,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 08:00:00,INPAINTING,0.0,0.0,0.0,,,16,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 08:00:00,TXT_2_IMG,0.0,0.0,0.0,,,16,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 09:00:00,IMG_2_IMG,0.0,0.0,0.0,,,17,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 09:00:00,INPAINTING,0.0,0.0,0.0,,,17,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 09:00:00,TXT_2_IMG,0.0,0.0,0.0,,,17,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 10:00:00,IMG_2_IMG,0.0,0.0,0.0,,,18,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 10:00:00,INPAINTING,0.0,0.0,0.0,,,18,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 10:00:00,TXT_2_IMG,0.0,0.0,0.0,,,18,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 11:00:00,IMG_2_IMG,0.0,0.0,0.0,,,19,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 11:00:00,INPAINTING,0.0,0.0,0.0,,,19,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 11:00:00,TXT_2_IMG,0.0,0.0,0.0,,,19,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 12:00:00,IMG_2_IMG,0.0,0.0,0.0,,,20,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 12:00:00,INPAINTING,0.0,0.0,0.0,,,20,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 12:00:00,TXT_2_IMG,0.0,0.0,0.0,,,20,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 13:00:00,IMG_2_IMG,0.0,0.0,0.0,,,21,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 13:00:00,INPAINTING,0.0,0.0,0.0,,,21,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 13:00:00,TXT_2_IMG,0.0,0.0,0.0,,,21,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 14:00:00,IMG_2_IMG,0.0,0.0,0.0,,,22,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
