capacity_scenario,hour_index,region,capacity_accelerator_hours,capacity_status
external_nonbinding,58,southwest,457.9061473105719,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,59,east,445.7540736781387,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,59,north,445.7540736781387,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,59,northwest,445.7540736781387,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,59,southwest,445.7540736781387,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,60,east,756.3741195920145,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,60,north,756.3741195920145,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,60,northwest,756.3741195920145,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,60,southwest,756.3741195920145,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,61,east,884.7846709870548,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,61,north,884.7846709870548,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,61,northwest,884.7846709870548,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,61,southwest,884.7846709870548,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,62,east,998.3802554338906,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,62,north,998.3802554338906,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,62,northwest,998.3802554338906,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,62,southwest,998.3802554338906,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,63,east,1176.1090496595643,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,63,north,1176.1090496595643,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,63,northwest,1176.1090496595643,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,63,southwest,1176.1090496595643,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,64,east,1318.3849177240352,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,64,north,1318.3849177240352,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,64,northwest,1318.3849177240352,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,64,southwest,1318.3849177240352,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,65,east,1262.7715342467661,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,65,north,1262.7715342467661,constructed nonbinding capacity for fixed-service external confirmation
external_nonbinding,65,northwest,1262.7715342467661,constructed nonbinding capacity for fixed-service external confirmation
