hour_index,trace_timestamp_utc,request_count,service_accelerator_hours,boundary_fallback_request_count,boundary_fallback_service_accelerator_hours,processed_context_tokens,processed_generated_tokens
73,2024-05-13 01:00:00+00:00,66573,2078.748623244818,13570,2003.8390292556178,127457170,1606756
74,2024-05-13 02:00:00+00:00,65925,2232.773810116299,14626,2159.7752131092607,132478848,1614935
75,2024-05-13 03:00:00+00:00,56872,1979.3598935971952,12982,1917.0109268825668,113118622,1442629
76,2024-05-13 04:00:00+00:00,48968,1696.2015892300249,11123,1642.4982698902165,96487775,1158119
77,2024-05-13 05:00:00+00:00,40353,1519.056088147847,10004,1477.2590750680324,83806412,955673
78,2024-05-13 06:00:00+00:00,32707,1429.7984003752204,9452,1395.7469789627191,73145130,837151
79,2024-05-13 07:00:00+00:00,31220,1396.2243824993072,9245,1365.1799429232267,70995422,796502
80,2024-05-13 08:00:00+00:00,28452,1183.2713797259505,7801,1151.949024850632,62378652,753540
81,2024-05-13 09:00:00+00:00,28468,1182.1356746866088,7794,1150.9153569652385,62887472,738797
82,2024-05-13 10:00:00+00:00,29280,1117.6554330385468,7360,1086.8279480708436,61875705,697995
83,2024-05-13 11:00:00+00:00,43715,1669.7442369762114,11012,1626.1072505646914,92451421,1006133
84,2024-05-13 12:00:00+00:00,75558,2663.08662344763,17483,2581.6593771905646,153411855,1864635
85,2024-05-13 13:00:00+00:00,141963,5113.081456005034,33631,4966.183521952519,293912537,3318238
86,2024-05-13 14:00:00+00:00,200966,7271.68900405124,47877,7069.845335568992,421287283,4426844
87,2024-05-13 15:00:00+00:00,227624,8101.396469760301,53331,7875.220285131271,480381047,4945551
88,2024-05-13 16:00:00+00:00,217037,7952.557241389503,52401,7737.890123214711,454390325,4796536
89,2024-05-13 17:00:00+00:00,242526,8431.151552602634,55416,8183.105648137754,508690315,5401529
90,2024-05-13 18:00:00+00:00,272130,10024.7611352311,66076,9757.234170751231,581076986,5837512
91,2024-05-13 19:00:00+00:00,284085,10419.087444444069,68713,10146.631629863026,606494886,6074701
92,2024-05-13 20:00:00+00:00,267866,10123.436446797465,66826,9867.984301329103,580803589,5731520
93,2024-05-13 21:00:00+00:00,201648,7582.194115149794,50002,7383.637372206294,435798594,4350907
94,2024-05-13 22:00:00+00:00,156399,5772.3437354179,38018,5613.997952412681,331903116,3521571
95,2024-05-13 23:00:00+00:00,111334,3909.119385974001,25710,3796.514476209428,228001965,2520937
96,2024-05-14 00:00:00+00:00,100910,3616.7503506568596,23783,3511.960474044684,205627603,2382333
97,2024-05-14 01:00:00+00:00,105599,3236.49138126878,21165,3125.368684907528,201003555,2356496
98,2024-05-14 02:00:00+00:00,93267,2943.000778262289,19247,2842.143684309718,180330742,2132037
99,2024-05-14 03:00:00+00:00,64759,2050.8541314198656,13408,1979.9170010507976,126966851,1501368
100,2024-05-14 04:00:00+00:00,53173,1727.009029393111,11304,1669.2259680696761,106323286,1237675
101,2024-05-14 05:00:00+00:00,42387,1324.621231835071,8627,1273.9218353270608,85809446,1067580
102,2024-05-14 06:00:00+00:00,35686,1305.793087397126,8567,1265.0618248808312,75513955,960318
103,2024-05-14 07:00:00+00:00,27561,1331.9349965815184,8833,1304.3412045257828,65603845,707233
