grid_request_id,num_prefill_tokens,num_decode_tokens,request_execution_time,request_model_execution_time,request_scheduling_delay,request_preemption_time
54,16,2,0.0345780414397963,0.0345780414397963,0.0,0.0
55,16,4,0.0661646588352013,0.0661646588352013,0.0,0.0
56,16,8,0.1293378936260112,0.1293378936260112,0.0,0.0
57,16,16,0.2556843632076309,0.2556843632076309,0.0,0.0
58,16,32,0.5083773023708702,0.5083773023708702,0.0,0.0
59,16,64,1.017363180697349,1.017363180697349,0.0,0.0
60,16,128,2.043494937350308,2.043494937350308,0.0,0.0
61,16,256,4.090936583989569,4.090936583989569,0.0,0.0
62,16,512,8.190509157268034,8.190509157268034,0.0,0.0
63,16,1024,16.410681290491695,16.410681290491695,0.0,0.0
64,16,2048,32.984276626569084,32.984276626569084,0.0,0.0
65,16,3072,49.672795186350655,49.672795186350655,0.0,0.0
66,32,1,0.0181269664402676,0.0181269664402676,0.0,0.0
67,32,2,0.03392027513797,0.03392027513797,0.0,0.0
68,32,4,0.065506892533375,0.065506892533375,0.0,0.0
69,32,8,0.1286801273241849,0.1286801273241849,0.0,0.0
70,32,16,0.2550265969058046,0.2550265969058046,0.0,0.0
71,32,32,0.507719536069044,0.507719536069044,0.0,0.0
72,32,64,1.0205454143955233,1.0205454143955233,0.0,0.0
73,32,128,2.0466771710484823,2.0466771710484823,0.0,0.0
74,32,256,4.092980471021072,4.092980471021072,0.0,0.0
75,32,512,8.193290324299534,8.193290324299534,0.0,0.0
76,32,1024,16.415141817523175,16.415141817523175,0.0,0.0
77,32,2048,32.99043870026727,32.99043870026727,0.0,0.0
78,32,3072,49.68109742004879,49.68109742004879,0.0,0.0
79,64,1,0.0185756213876906,0.0185756213876906,0.0,0.0
80,64,2,0.0346089300853931,0.0346089300853931,0.0,0.0
81,64,4,0.0666755474807981,0.0666755474807981,0.0,0.0
82,64,8,0.130808782271608,0.130808782271608,0.0,0.0
83,64,16,0.2590752518532279,0.2590752518532279,0.0,0.0
84,64,32,0.5156081910164675,0.5156081910164675,0.0,0.0
85,64,64,1.0286740693429468,1.0286740693429468,0.0,0.0
86,64,128,2.054805825995906,2.054805825995906,0.0,0.0
87,64,256,4.098832432635152,4.098832432635152,0.0,0.0
88,64,512,8.200616845913606,8.200616845913606,0.0,0.0
89,64,1024,16.42582705913724,16.42582705913724,0.0,0.0
90,64,2048,33.00452703521475,33.00452703521475,0.0,0.0
91,64,3072,49.69946607499618,49.69946607499618,0.0,0.0
92,128,1,0.0207443978080564,0.0207443978080564,0.0,0.0
